Filename	Coverage	Depth_of_Coverage
./BM510x04_PE20372.sort.mdup.bam	4.68559728275326	0.0480313500835051
./BM510x04_PE20373.sort.mdup.bam	1.24596436782011	0.012604964942255
./BM510x04_PE20374.sort.mdup.bam	2.58620155899627	0.0263004054466327
./BM510x04_PE20375.sort.mdup.bam	1.71823865949232	0.0174018223083393
./BM510x04_PE20376.sort.mdup.bam	1.02412389992168	0.0103436280283205
./BM510x04_PE20377.sort.mdup.bam	3.42306511641179	0.0349423095028403
./BM510x04_PE20378.sort.mdup.bam	2.52258745195847	0.0256413092890082
./BM510x04_PE20379.sort.mdup.bam	3.21129576684226	0.032732003726591
./BM510x04_PE20380.sort.mdup.bam	2.47903303710137	0.0252370817719369
./BM510x04_PE20381.sort.mdup.bam	1.91206372856483	0.0193748046988473
./BM510x04_PE20382.sort.mdup.bam	1.77337487317725	0.0179585017520399
./BM510x04_PE20383.sort.mdup.bam	1.93431744274765	0.0196096976487928
./BM510x04_PE20384.sort.mdup.bam	2.81016909534478	0.0286326839838231
./BM510x04_PE20385.sort.mdup.bam	0.305928228033945	0.00307513220418713
./BM510x04_PE20386.sort.mdup.bam	2.55410060925434	0.0259715822729814
./BM510x04_PE20387.sort.mdup.bam	2.65621523079138	0.0270153265871272
./BM510x04_PE20388.sort.mdup.bam	0.0763141176105899	0.00076566887304642
./BM510x04_PE20389.sort.mdup.bam	4.30830330730319	0.0441352172503302
./BM510x04_PE20390.sort.mdup.bam	2.97743571568262	0.0303320507392042
./BM510x04_PE20391.sort.mdup.bam	0.917316701357999	0.0092529051241856
./BM510x04_PE20392.sort.mdup.bam	2.37273494781051	0.0241137137292059
./BM510x04_PE20393.sort.mdup.bam	1.95573070407254	0.0198454717774238
./BM510x04_PE20394.sort.mdup.bam	1.50442678945656	0.0152430682172501
./BM510x04_PE20395.sort.mdup.bam	2.98585248386664	0.0304128623651411
./BM510x04_PE20396.sort.mdup.bam	0.268835595924867	0.0026994841641537
